HH|DECILE|ZONE_NBR|HOH_AGE|HH_INCOME|HH_SIZE|HH_ADULTS|HH_CHILDREN
1350686|1|1|59|62500|3|3|0
1361682|1|1|62|62500|4|3|1
1361863|1|1|61|62500|3|3|0
1364163|1|1|60|62500|5|2|3
1364472|1|1|60|62500|5|4|1
1370122|1|1|86|62500|1|1|0
1380115|1|1|47|62500|3|2|1
1389262|1|1|66|62500|3|3|0
1389277|1|1|49|62500|4|2|2
1389885|1|1|60|62500|4|3|1
1392568|1|1|44|62500|3|2|1
1399182|1|1|52|62500|3|2|1
1409709|1|1|42|62500|3|2|1
1447891|1|1|37|62500|||
1462867|1|1|32|62500|6|6|0
1472925|1|1|31|62500|7|6|1
1535159|1|1|32|62500|2|2|0
1557157|1|1|48|62500|3|2|1
1573159|1|1|48|62500|6|3|3
1593223|1|1|54|62500|3|2|1
1638986|1|1|62|62500|1|1|0
1657592|1|1|26|62500|5|3|2
1711379|1|1|68|62500|4|3|1
1714336|1|1|58|62500|3|2|1
1740166|1|1|66|62500|6|5|1
1741100|1|1|67|62500|1|1|0
1783952|1|1|70|62500|3|3|0
1787187|1|1|55|62500|9|5|4
1792619|1|1|44|62500|1|1|0
1793429|1|1|35|62500|3|2|1
1843655|1|1|74|62500|1|1|0
1849763|1|1|69|62500|1|1|0
1852552|1|1|68|62500|5|4|1
1859697|1|1|53|62500|4|3|1
1860124|1|1|36|62500|3|2|1
1869686|1|1|59|62500|4|4|0
1870054|1|1|55|62500|6|3|3
1875989|1|1|46|62500|3|2|1
1883449|1|1|48|62500|4|2|2
1966975|1|1|62|62500|3|3|0
1967972|1|1|40|62500|7|5|2
1979200|1|1|56|62500|6|5|1
2000344|1|1|64|62500|6|5|1
2001617|1|1|65|62500|3|2|1
2001769|1|1|76|62500|4|4|0
2002377|1|1|69|62500|2|2|0
2003321|1|1|70|62500|4|4|0
2004481|1|1|57|62500|4|4|0
2006033|1|1|71|62500|6|6|0
2030985|1|1|67|62500|3|3|0
2054039|1|1|46|62500|1|1|0
2064357|1|1|27|62500|1|1|0
2092464|1|1|47|62500|3|3|0
2101103|1|1|66|62500|5|5|0
2101168|1|1|62|62500|3|3|0
2101710|1|1|77|62500|||
2112718|1|1|60|62500|1|1|0
2127580|1|1|31|62500|2|2|0
2143320|1|1|54|62500|2|2|0
2166256|1|1|65|62500|6|5|1
2173231|1|1|61|62500|6|4|2
2249130|1|1|45|62500|3|3|0
2264102|1|1|42|62500|3|2|1
2278725|1|1|50|62500|3|3|0
2287089|1|1|58|62500|3|2|1
2296217|1|1|64|62500|2|1|1
2300020|1|1|68|62500|3|3|0
2302973|1|1|78|62500|3|3|0
2318503|1|1|58|62500|4|4|0
2327886|1|1|71|62500|4|4|0
2332991|1|1|38|62500|2|2|0
2346126|1|1|53|62500|3|3|0
2346282|1|1|50|62500|3|2|1
2351987|1|1|63|62500|5|5|0
2362238|1|1|57|62500|3|2|1
2369426|1|1|52|62500|3|3|0
2377906|1|1|60|62500|3|2|1
2380905|1|1|43|62500|5|4|2
2383834|1|1|87|62500|3|3|0
2394214|1|1|65|62500|4|3|1
2395652|1|1|67|62500|3|3|0
2400819|1|1|74|62500|2|1|1
2407147|1|1|65|62500|1|1|0
2413097|1|1|70|62500|5|4|1
2419908|1|1|67|62500|3|3|0
2430211|1|1|61|62500|6|5|1
2488327|1|1|63|62500|1|1|0
2496074|1|1|52|62500|8|5|3
2497747|1|1|71|62500|3|3|0
2504389|1|1|52|62500|2|1|1
2541634|1|1|27|62500|3|2|1
2566419|1|1|64|62500|3|3|0
2598822|1|1|53|62500|3|2|1
2603739|1|1|32|62500|2|2|0
2704381|1|1|47|62500|2|1|1
2773872|1|1|38|62500|2|2|0
2843844|1|1|60|62500|5|3|2
2886350|1|1|70|62500|2|2|0
2951452|1|1|92|62500|2|2|0
2971541|1|1|29|62500|1|1|0
2987070|1|1|35|62500|4|2|2
2992322|1|1|35|62500|3|2|1
3004817|1|1|26|62500|6|4|2
3012024|1|1|43|62500|2|1|1
3077039|1|1|39|62500|2|2|0
3083803|1|1|33|62500|4|2|2
3090721|1|1|63|62500|4|4|0
3160046|1|1|42|62500|2|2|0
3167121|1|1|50|62500|3|3|0
3290921|1|1|40|62500|5|3|2
3338146|1|1|38|62500|4|2|2
3340182|1|1|35|62500|3|2|1
3403891|1|1|59|62500|1|1|0
3423690|1|1|54|62500|1|1|0
3491497|1|1|27|62500|5|3|2
3577400|1|1|31|62500|1|1|0
3611572|1|1|39|62500|5|2|3
3616738|1|1|24|62500|4|4|1
3652186|1|1|34|62500|4|4|0
3772078|1|1|70|62500|2|2|0
3780097|1|1|43|62500|4|2|2
3809636|1|1|28|62500|1|1|0
3829948|1|1|75|62500|1|1|0
3852632|1|1|38|62500|3|2|1
3960123|1|1|44|62500|5|3|2
4019134|1|1|63|62500|3|3|0
4022054|1|1|50|62500|5|4|1
4023309|1|1|76|62500|4|4|0
4038963|1|1|63|62500|6|6|0
4043426|1|1|62|62500|5|4|1
4047543|1|1|55|62500|4|3|1
4053537|1|1|52|62500|3|2|1
4053713|1|1|58|62500|3|2|1
4055872|1|1|44|62500|3|2|1
4059541|1|1|63|62500|2|2|0
4070933|1|1|86|62500|3|3|0
4073957|1|1|40|62500|2|2|0
4074084|1|1|53|62500|4|2|2
4085983|1|1|36|62500|2|2|0
4089885|1|1|70|62500|2|2|0
4091273|1|1|73|62500|3|2|1
4096345|1|1|93|62500|2|2|0
4105371|1|1|32|62500|5|3|2
4113551|1|1|45|62500|3|2|1
4119712|1|1|73|62500|3|3|0
4120984|1|1|49|62500|2|2|0
4121165|1|1|72|62500|3|3|0
4123585|1|1|85|62500|3|2|1
4127453|1|1|66|62500|2|2|0
4128509|1|1|54|62500|6|4|2
4137639|1|1|84|62500|4|3|1
4148041|1|1|58|62500|4|4|0
4148208|1|1|70|62500|3|3|0
4158425|1|1|42|62500|4|2|2
4171060|1|1|66|62500|2|1|1
4182225|1|1|81|62500|1|1|0
4183539|1|1|55|62500|4|3|1
4189817|1|1|50|62500|7|4|3
4192819|1|1|62|62500|3|2|1
4194289|1|1|72|62500|5|4|1
4201764|1|1|49|62500|5|3|2
4209841|1|1|67|62500|2|2|0
4210765|1|1|49|62500|5|5|0
4217597|1|1|48|62500|4|2|2
4218593|1|1|46|62500|5|4|2
4224591|1|1|41|62500|2|1|1
4225009|1|1|45|62500|3|1|2
4226019|1|1|44|62500|1|1|0
4239263|1|1|67|62500|3|3|0
4242817|1|1|61|62500|2|2|0
4257283|1|1|43|62500|3|2|1
4257689|1|1|55|62500|2|1|1
4300352|1|1|67|62500|4|4|0
4313024|1|1|52|62500|5|3|2
4315117|1|1|50|62500|2|1|1
4323409|1|1|20|62500|4|3|1
4329946|1|1|49|62500|3|3|1
4355323|1|1|80|62500|5|5|0
4361582|1|1|52|62500|4|2|2
4415179|1|1|43|62500|5|4|1
4422601|1|1|48|62500|4|3|1
4453634|1|1|72|62500|2|2|0
4493262|1|1|47|62500|5|5|0
4501329|1|1|62|62500|2|2|1
4524020|1|1|44|62500|3|2|1
4527523|1|1|55|62500|5|4|1
4531278|1|1|36|62500|4|2|2
4542538|1|1|46|62500|4|3|1
4547843|1|1|40|62500|3|2|1
4547859|1|1|53|62500|4|2|2
4561431|1|1|48|62500|3|2|1
4564678|1|1|64|62500|3|3|0
4564772|1|1|55|62500|3|2|1
4570274|1|1|36|62500|6|5|1
4575836|1|1|46|62500|2|1|1
4595754|1|1|48|62500|3|2|1
4606264|1|1|46|62500|1|1|0
4614790|1|1|46|62500|6|2|4
4625478|1|1|63|62500|1|1|0
4639955|1|1|39|62500|2|1|1
4664582|1|1|34|62500|5|3|2
4665284|1|1|70|62500|3|2|1
4696375|1|1|42|62500|3|3|0
4702004|1|1|52|62500|4|3|1
4706082|1|1|57|62500|1|1|0
4732991|1|1|58|62500|3|3|1
4828969|1|1|54|62500|5|3|2
4894810|1|1|46|62500|||
5130544|1|1|69|62500|4|4|0
5169218|1|1|29|62500|7|5|2
5171200|1|1|32|62500|2|1|1
5173768|1|1|41|62500|2|2|0
5178883|1|1|29|62500|2|2|0
5204374|1|1|49|62500|5|2|3
5208195|1|1|32|62500|5|4|1
5208343|1|1|51|62500|3|3|0
5212254|1|1|49|62500|4|3|1
5222855|1|1|47|62500|6|6|0
5226863|1|1|52|62500|5|3|2
5247144|1|1|69|62500|2|2|0
5253418|1|1|50|62500|2|2|1
5254515|1|1|69|62500|5|5|0
5255192|1|1|42|62500|5|3|2
5295472|1|1|62|62500|2|2|0
5297521|1|1|53|62500|3|2|1
5301834|1|1|56|62500|6|4|2
5301855|1|1|47|62500|5|2|3
5302564|1|1|45|62500|3|2|1
5314726|1|1|51|62500|1|1|0
5333933|1|1|46|62500|1|1|0
5344182|1|1|50|62500|3|2|1
5347394|1|1|76|62500|6|5|1
5348465|1|1|60|62500|3|3|0
5349558|1|1|60|62500|6|4|2
5387943|1|1|22|62500|3|3|0
5388255|1|1|68|62500|2|2|0
5395348|1|1|48|62500|2|2|0
5400948|1|1|48|62500|1|1|0
5417130|1|1|53|62500|3|2|1
5452425|1|1|43|62500|1|1|0
5462102|1|1|54|62500|||
5465882|1|1|63|62500|3|2|1
5475136|1|1|82|62500|2|2|0
5484180|1|1|47|62500|3|2|1
5484537|1|1|51|62500|3|3|0
5489734|1|1|44|62500|8|4|4
5530440|1|1|44|62500|3|2|1
5534551|1|1|48|62500|4|3|1
5540846|1|1|65|62500|4|4|0
5557754|1|1|59|62500|||
5558048|1|1|41|62500|2|2|1
5573033|1|1|46|62500|||
5577766|1|1|50|62500|8|4|4
5579478|1|1|60|62500|6|4|2
5590400|1|1|62|62500|6|6|0
5594328|1|1|40|62500|5|2|3
5615632|1|1|40|62500|4|2|2
5666895|1|1|39|62500|||
5674752|1|1|56|62500|3|2|1
5735813|1|1|71|62500|4|4|0
5736666|1|1|67|62500|4|3|1
5740669|1|1|70|62500|4|4|0
5741127|1|1|72|62500|5|5|0
5742954|1|1|71|62500|3|3|0
5750052|1|1|58|62500|2|2|0
5754877|1|1|63|62500|3|3|0
5758586|1|1|58|62500|6|4|2
5767584|1|1|70|62500|4|3|1
5777280|1|1|62|62500|2|2|0
5790037|1|1|50|62500|4|3|1
5790992|1|1|64|62500|4|3|1
5792078|1|1|57|62500|2|2|0
5797027|1|1|61|62500|7|6|1
5801128|1|1|68|62500|4|4|0
5803230|1|1|70|62500|4|4|0
5804017|1|1|83|62500|2|2|0
5808470|1|1|56|62500|6|5|4
5809650|1|1|55|62500|1|1|0
5826531|1|1|57|62500|4|3|1
5837352|1|1|52|62500|5|3|2
5838222|1|1|61|62500|2|2|0
5848872|1|1|74|62500|3|3|0
5854661|1|1|63|62500|7|6|1
5867222|1|1|56|62500|||
5875611|1|1|75|62500|3|3|0
5881733|1|1|54|62500|6|6|0
